SNo	ObservationDate	Province	Country	LastUpdate	Confirmed	Deaths	Recovered
13388	04/09/2020	Alabama	US	2020-04-09 23:09:19	2703	70	0
13389	04/09/2020	Alaska	US	2020-04-09 23:09:19	235	7	0
13390	04/09/2020	Alberta	Canada	2020-04-09 23:09:19	1423	29	0
13391	04/09/2020	Anguilla	UK	2020-04-09 23:09:19	3	0	0
13392	04/09/2020	Anhui	Mainland China	2020-04-09 23:09:19	991	6	984
13393	04/09/2020	Arizona	US	2020-04-09 23:09:19	3018	89	0
13394	04/09/2020	Arkansas	US	2020-04-09 23:09:19	1119	21	0
13395	04/09/2020	Aruba	Netherlands	2020-04-09 23:09:19	82	0	20
13396	04/09/2020	Australian Capital Territory	Australia	2020-04-09 23:09:19	100	2	47
13397	04/09/2020	Beijing	Mainland China	2020-04-09 23:09:19	588	8	464
13398	04/09/2020	Bermuda	UK	2020-04-09 23:09:19	48	4	25
13399	04/09/2020	Bonaire	Netherlands	2020-04-09 23:09:19	2	0	0
13400	04/09/2020	British Columbia	Canada	2020-04-09 23:09:19	1336	48	0
13401	04/09/2020	British Virgin Islands	UK	2020-04-09 23:09:19	3	0	0
13402	04/09/2020	California	US	2020-04-09 23:09:19	19710	544	0
13403	04/09/2020	Cayman Islands	UK	2020-04-09 23:09:19	45	1	6
13404	04/09/2020	Channel Islands	UK	2020-04-09 23:09:19	361	8	40
13405	04/09/2020	Chongqing	Mainland China	2020-04-09 23:09:19	579	6	570
13406	04/09/2020	Colorado	US	2020-04-09 23:09:19	5655	193	0
13407	04/09/2020	Connecticut	US	2020-04-09 23:09:19	9784	380	0
13408	04/09/2020	Curacao	Netherlands	2020-04-09 23:09:19	14	1	7
13409	04/09/2020	Delaware	US	2020-04-09 23:09:19	1209	23	0
13410	04/09/2020	Diamond Princess cruise ship	Canada	2020-04-09 23:09:19	0	1	0
13411	04/09/2020	Diamond Princess cruise ship	US	2020-04-09 23:09:19	49	0	0
13412	04/09/2020	District of Columbia	US	2020-04-09 23:09:19	1523	32	0
13413	04/09/2020	Falkland Islands (Malvinas)	UK	2020-04-09 23:09:19	5	0	1
13414	04/09/2020	Faroe Islands	Denmark	2020-04-09 23:09:19	184	0	136
13415	04/09/2020	Florida	US	2020-04-09 23:09:19	16364	354	0
13416	04/09/2020	French Guiana	France	2020-04-09 23:09:19	83	0	43
13417	04/09/2020	French Polynesia	France	2020-04-09 23:09:19	51	0	0
13418	04/09/2020	Fujian	Mainland China	2020-04-09 23:09:19	351	1	308
13419	04/09/2020	Gansu	Mainland China	2020-04-09 23:09:19	139	2	135
13420	04/09/2020	Georgia	US	2020-04-09 23:09:19	10566	379	0
13421	04/09/2020	Gibraltar	UK	2020-04-09 23:09:19	123	0	60
13422	04/09/2020	Grand Princess	Canada	2020-04-09 23:09:19	13	0	0
13423	04/09/2020	Grand Princess	US	2020-04-09 23:09:19	103	3	0
13424	04/09/2020	Greenland	Denmark	2020-04-09 23:09:19	11	0	11
13425	04/09/2020	Guadeloupe	France	2020-04-09 23:09:19	141	8	43
13426	04/09/2020	Guam	US	2020-04-09 23:09:19	128	4	0
13427	04/09/2020	Guangdong	Mainland China	2020-04-09 23:09:19	1539	8	1423
13428	04/09/2020	Guangxi	Mainland China	2020-04-09 23:09:19	254	2	252
13429	04/09/2020	Guizhou	Mainland China	2020-04-09 23:09:19	146	2	144
13430	04/09/2020	Hainan	Mainland China	2020-04-09 23:09:19	168	6	162
13431	04/09/2020	Hawaii	US	2020-04-09 23:09:19	442	6	0
13432	04/09/2020	Hebei	Mainland China	2020-04-09 23:09:19	327	6	313
13433	04/09/2020	Heilongjiang	Mainland China	2020-04-09 23:09:19	609	13	470
13434	04/09/2020	Henan	Mainland China	2020-04-09 23:09:19	1276	22	1252
13435	04/09/2020	Hong Kong	Hong Kong	2020-04-09 23:09:19	973	4	293
13436	04/09/2020	Hubei	Mainland China	2020-04-09 23:09:19	67803	3215	64187
13437	04/09/2020	Hunan	Mainland China	2020-04-09 23:09:19	1019	4	1014
13438	04/09/2020	Idaho	US	2020-04-09 23:09:19	1232	18	0
13439	04/09/2020	Illinois	US	2020-04-09 23:09:19	15079	462	0
13440	04/09/2020	Indiana	US	2020-04-09 23:09:19	6351	245	0
13441	04/09/2020	Inner Mongolia	Mainland China	2020-04-09 23:09:19	126	1	79
13442	04/09/2020	Iowa	US	2020-04-09 23:09:19	1270	29	0
13443	04/09/2020	Isle of Man	UK	2020-04-09 23:09:19	190	1	92
13444	04/09/2020	Jiangsu	Mainland China	2020-04-09 23:09:19	651	0	633
13445	04/09/2020	Jiangxi	Mainland China	2020-04-09 23:09:19	937	1	935
13446	04/09/2020	Jilin	Mainland China	2020-04-09 23:09:19	98	1	93
13447	04/09/2020	Kansas	US	2020-04-09 23:09:19	1116	42	0
13448	04/09/2020	Kentucky	US	2020-04-09 23:09:19	1341	73	0
13449	04/09/2020	Liaoning	Mainland China	2020-04-09 23:09:19	144	2	132
13450	04/09/2020	Louisiana	US	2020-04-09 23:09:19	18283	702	0
13451	04/09/2020	Macau	Macau	2020-04-09 23:09:19	45	0	10
13452	04/09/2020	Maine	US	2020-04-09 23:09:19	560	16	0
13453	04/09/2020	Manitoba	Canada	2020-04-09 23:09:19	221	3	0
13454	04/09/2020	Martinique	France	2020-04-09 23:09:19	154	6	50
13455	04/09/2020	Maryland	US	2020-04-09 23:09:19	6185	138	0
13456	04/09/2020	Massachusetts	US	2020-04-09 23:09:19	18941	503	0
13457	04/09/2020	Mayotte	France	2020-04-09 23:09:19	184	2	22
13458	04/09/2020	Michigan	US	2020-04-09 23:09:19	21504	1076	0
13459	04/09/2020	Minnesota	US	2020-04-09 23:09:19	1240	50	0
13460	04/09/2020	Mississippi	US	2020-04-09 23:09:19	2260	76	0
13461	04/09/2020	Missouri	US	2020-04-09 23:09:19	3432	93	0
13462	04/09/2020	Montana	US	2020-04-09 23:09:19	354	6	0
13463	04/09/2020	Montserrat	UK	2020-04-09 23:09:19	9	0	0
13464	04/09/2020	Nebraska	US	2020-04-09 23:09:19	568	14	0
13465	04/09/2020	Nevada	US	2020-04-09 23:09:19	2456	81	0
13466	04/09/2020	New Brunswick	Canada	2020-04-09 23:09:19	108	0	0
13467	04/09/2020	New Caledonia	France	2020-04-09 23:09:19	18	0	1
13468	04/09/2020	New Hampshire	US	2020-04-09 23:09:19	819	21	0
13469	04/09/2020	New Jersey	US	2020-04-09 23:09:19	51027	1709	0
13470	04/09/2020	New Mexico	US	2020-04-09 23:09:19	865	16	0
13471	04/09/2020	New South Wales	Australia	2020-04-09 23:09:19	2773	21	4
13472	04/09/2020	New York	US	2020-04-09 23:09:19	161779	7067	0
13473	04/09/2020	Newfoundland and Labrador	Canada	2020-04-09 23:09:19	232	2	0
13474	04/09/2020	Ningxia	Mainland China	2020-04-09 23:09:19	75	0	75
13475	04/09/2020	North Carolina	US	2020-04-09 23:09:19	3736	76	0
13476	04/09/2020	North Dakota	US	2020-04-09 23:09:19	269	5	0
13477	04/09/2020	Northern Mariana Islands	US	2020-04-09 23:09:19	11	2	0
13478	04/09/2020	Northern Territory	Australia	2020-04-09 23:09:19	28	0	2
13479	04/09/2020	Northwest Territories	Canada	2020-04-09 23:09:19	5	0	0
13480	04/09/2020	Nova Scotia	Canada	2020-04-09 23:09:19	342	1	0
13481	04/09/2020	Ohio	US	2020-04-09 23:09:19	5512	213	0
13482	04/09/2020	Oklahoma	US	2020-04-09 23:09:19	1686	80	0
13483	04/09/2020	Ontario	Canada	2020-04-09 23:09:19	5759	200	0
