source,target,weight
French Guiana,French Polynesia,0
French Guiana,Guadeloupe,4
French Guiana,Martinique,3
French Guiana,Mayotte,1
French Guiana,New Caledonia,0
French Guiana,Reunion,0
French Guiana,Saint Barthelemy,0
French Guiana,Saint Pierre and Miquelon,0
French Guiana,St Martin,1
French Polynesia,Guadeloupe,4
French Polynesia,Martinique,3
French Polynesia,Mayotte,1
French Polynesia,New Caledonia,0
French Polynesia,Reunion,0
French Polynesia,Saint Barthelemy,0
French Polynesia,Saint Pierre and Miquelon,0
French Polynesia,St Martin,1
Guadeloupe,Martinique,7
Guadeloupe,Mayotte,5
Guadeloupe,New Caledonia,4
Guadeloupe,Reunion,4
Guadeloupe,Saint Barthelemy,4
Guadeloupe,Saint Pierre and Miquelon,4
Guadeloupe,St Martin,5
Martinique,Mayotte,4
Martinique,New Caledonia,3
Martinique,Reunion,3
Martinique,Saint Barthelemy,3
Martinique,Saint Pierre and Miquelon,3
Martinique,St Martin,4
Mayotte,New Caledonia,1
Mayotte,Reunion,1
Mayotte,Saint Barthelemy,1
Mayotte,Saint Pierre and Miquelon,1
Mayotte,St Martin,2
New Caledonia,Reunion,0
New Caledonia,Saint Barthelemy,0
New Caledonia,Saint Pierre and Miquelon,0
New Caledonia,St Martin,1
Reunion,Saint Barthelemy,0
Reunion,Saint Pierre and Miquelon,0
Reunion,St Martin,1
Saint Barthelemy,Saint Pierre and Miquelon,0
Saint Barthelemy,St Martin,1
Saint Pierre and Miquelon,St Martin,1
Aruba,Bonaire,0
Aruba,Curacao,0
Aruba,Sint Maarten,3
Bonaire,Curacao,0
Bonaire,Sint Maarten,3
Curacao,Sint Maarten,3
Australian Capital Territory,New South Wales,11
Australian Capital Territory,Northern Territory,1
Australian Capital Territory,Queensland,3
Australian Capital Territory,South Australia,2
Australian Capital Territory,Tasmania,2
Australian Capital Territory,Victoria,7
Australian Capital Territory,Western Australia,4
New South Wales,Northern Territory,10
New South Wales,Queensland,12
New South Wales,South Australia,12
New South Wales,Tasmania,12
New South Wales,Victoria,16
New South Wales,Western Australia,13
Northern Territory,Queensland,2
Northern Territory,South Australia,1
Northern Territory,Tasmania,1
Northern Territory,Victoria,6
Northern Territory,Western Australia,3
Queensland,South Australia,3
Queensland,Tasmania,3
Queensland,Victoria,8
Queensland,Western Australia,5
South Australia,Tasmania,3
South Australia,Victoria,7
South Australia,Western Australia,4
Tasmania,Victoria,7
Tasmania,Western Australia,4
Victoria,Western Australia,9
Alberta,British Columbia,38
Alberta,Diamond Princess cruise ship,14
Alberta,Grand Princess,16
Alberta,Manitoba,16
Alberta,New Brunswick,14
Alberta,Newfoundland and Labrador,15
Alberta,Northwest Territories,14
Alberta,Nova Scotia,15
Alberta,Ontario,114
Alberta,Prince Edward Island,14
Alberta,Quebec,122
